"country_total","pcs_local","pcs_total","methods_unique_ct","segment_length_days","had_social_elites","had_campaigner_violence","had_repressive_violence","cluster_total","class_total","success_goal","success_survival","success_growth","success_total","success_above_avg"
1,1,1,2,10,0,1,0,1,0,4,1,1,6,0
1,0,0,5,1,1,0,0,1,1,5,1,3,9,1
1,0,2,8,121.68,1,0,0,1,1,6,1,3,10,1
1,0,1,4,0,0,0,1,1,1,6,1,2,9,1
1,0,0,5,1095,1,0,1,2,2,6,1,2,9,1
1,0,3,4,0.5,1,0,1,1,1,6,1,3,10,1
5,0,2,10,18,1,0,1,1,1,4,0.5,3,7.5,1
1,0,2,14,1.5,1,0,0,1,1,4,1,3,8,1
1,1,1,6,60.84,0,0,1,1,1,4,1,1,6,0
1,0,1,7,212.94,0,0,0,1,1,6,1,2,9,1
1,1,2,13,65,0,0,0,1,1,6,1,3,10,1
1,1,2,12,182.52,0,0,0,2,1,4,1,3,8,1
1,0,2,13,8,1,0,1,1,1,4,0.5,2,6.5,0
1,0,2,12,79.092,0,0,0,1,1,5,1,2,8,1
1,0,1,4,38,0,0,0,1,1,6,1,1,8,1
1,1,3,12,30.42,0,0,0,1,1,6,1,1,8,1
1,0,1,5,31,1,0,0,1,1,6,1,2,9,1
1,1,2,7,30.42,0,0,1,2,1,5,1,3,9,1
1,1,1,21,851.76,1,0,1,3,1,6,1,2,9,1
1,0,2,6,58,1,0,0,1,1,4,1,3,8,1
1,1,1,1,12,1,0,0,1,1,6,0.5,2,8.5,1
1,0,0,6,17,0,0,0,1,1,4,1,2,7,1
1,0,0,7,80,1,0,1,1,1,2,1,3,6,0
1,1,2,11,334.62,1,0,1,3,1,6,1,3,10,1
1,0,1,4,10,1,0,1,1,1,0,1,1,2,0
1,0,1,4,76.05,0,0,0,1,1,5,1,3,9,1
1,1,3,12,790.92,0,0,0,3,2,6,1,3,10,1
1,1,2,11,129,0,0,0,1,1,6,1,3,10,1
1,1,2,12,608.4,1,0,0,3,2,0,0,3,3,0
1,0,2,4,10,0,0,1,1,1,5,1,3,9,1
1,1,2,10,0,1,0,0,2,1,5,1,3,9,1
1,0,0,5,7,1,0,0,2,1,4,1,3,8,1
1,0,1,7,14,0,0,0,1,1,4,1,2,7,1
1,1,2,10,7,1,0,0,1,1,4,1,2,7,1
1,0,0,17,65,1,0,1,2,1,3,1,2,6,0
1,1,2,7,152.1,1,0,0,1,1,6,1,2,9,1
1,1,2,5,60.84,0,0,1,2,1,6,1,2,9,1
1,1,2,15,206,1,0,1,1,1,6,1,3,10,1
1,1,1,35,152.1,1,0,0,1,2,5,1,3,9,1
1,0,0,1,8.5,0,0,0,1,1,5,1,1,7,1
1,1,2,10,43,0,0,0,1,1,6,1,1,8,1
1,1,2,7,152.1,0,0,0,1,1,6,1,2,9,1
1,1,2,6,3.33,0,0,0,2,1,6,1,2,9,1
1,0,0,9,18,0,0,0,1,2,6,1,2,9,1
1,1,3,7,91.26,0,0,0,2,1,0,0,1,1,0
1,0,1,3,0.691666666666667,0,0,0,1,1,5,1,3,9,1
1,1,2,3,56,0,0,0,1,1,0,0,2,2,0
1,1,3,11,24.17,1,0,0,1,1,6,1,3,10,1
1,1,1,6,98.865,1,0,0,2,1,6,0.5,1,7.5,1
1,1,1,3,365,1,0,0,1,1,6,1,3,10,1
1,0,1,4,0.333333333333333,1,0,0,1,1,6,1,3,10,1
1,1,2,6,91.26,1,0,0,2,1,6,0.5,3,9.5,1
1,0,1,3,0.333333333333333,0,0,0,1,1,4,1,3,8,1
1,1,2,10,60.84,0,0,0,1,1,6,1,3,10,1
1,0,1,3,1.2,1,0,0,1,1,5,1,2,8,1
1,0,0,17,304.2,0,0,1,2,1,6,1,3,10,1
1,1,2,4,121.68,0,0,0,1,1,3,1,2,6,0
1,0,0,3,0.416666666666667,0,1,0,1,1,4,0,0,4,0
1,0,1,10,730,0,1,1,2,1,0,0,2,2,0
12,0,0,11,608.4,0,0,0,1,1,3,1,3,7,1
12,0,0,11,608.4,0,0,0,1,1,3,1,3,7,1
1,0,0,5,0,1,0,0,1,1,6,1,2,9,1
1,0,1,3,0.0833333333333333,0,0,1,1,1,2,0.5,0,2.5,0
1,1,4,5,1003.86,1,0,1,1,1,6,1,2,9,1
1,1,2,2,60.84,1,0,0,1,1,5,1,3,9,1
11,0,2,9,37,1,0,0,2,1,6,1,3,10,1
1,1,3,8,30.42,0,0,0,2,1,5,0.5,3,8.5,1
1,1,3,2,121.68,0,0,0,2,1,6,1,3,10,1
1,1,1,11,63,0,0,0,1,1,6,1,3,10,1
1,1,2,3,81.2214,0,0,1,3,1,0,1,2,3,0
1,1,1,5,365,0,0,0,1,1,6,1,2,9,1
1,1,2,10,27,0,0,0,2,1,5,1,3,9,1
1,1,2,6,1,0,0,0,1,2,6,1,1,8,1
1,0,1,9,42,1,0,0,1,1,2,0.5,2,4.5,0
1,0,0,3,6,0,0,0,2,1,5,1,3,9,1
1,0,2,2,12,0,1,0,2,1,4,1,2,7,1
1,1,2,6,60.84,1,1,1,2,1,3,1,2,6,0
1,0,1,5,30.42,1,0,0,2,1,5,1,1,7,1
1,1,2,4,4,0,0,1,2,0,0,0.5,2,2.5,0
1,1,3,4,1.66,0,0,0,3,1,0,0.5,2,2.5,0
1,0,0,1,0,1,0,1,2,1,4,1,2,7,1
1,0,0,14,152.1,1,0,0,1,1,6,1,3,10,1
1,0,0,11,14,1,0,0,1,0,1,0.5,2,3.5,0
1,1,3,9,70,1,0,1,1,1,2,0.5,3,5.5,0
1,1,1,6,70,0,0,0,1,1,6,1,3,10,1
1,1,3,5,58,1,0,0,2,1,6,1,2,9,1
1,1,2,7,91.26,1,0,0,2,1,6,0.5,3,9.5,1
1,0,1,9,60.84,1,0,1,2,1,3,1,3,7,1
1,1,2,5,1095,0,0,1,2,1,4,0.5,2,6.5,0
1,0,0,10,91.26,0,0,0,1,2,6,1,2,9,1
1,1,1,3,14,0,0,0,1,1,1,0.5,1,2.5,0
1,0,1,5,60.84,0,0,0,1,1,1,0,1,2,0
1,0,1,10,4,0,0,1,1,1,6,1,3,10,1
1,0,1,10,3,1,0,1,1,1,4,1,2,7,1
1,0,3,13,45.5,1,0,1,1,1,1,1,3,5,0
1,0,0,6,60.84,0,0,0,2,1,6,1,2,9,1
1,0,2,10,0,0,0,0,1,1,2,1,2,5,0
1,0,3,9,30.42,1,0,1,1,1,6,1,2,9,1
1,0,1,9,1.5,0,0,0,1,1,0,1,2,3,0
1,0,3,6,1.5,0,0,1,1,1,0,1,2,3,0
1,0,2,4,10,0,0,0,1,1,0,0,2,2,0
1,0,1,1,1,0,0,1,1,1,3,1,2,6,0
1,0,1,8,10,1,0,0,1,1,0,1,3,4,0
1,0,2,2,35,0,0,0,1,1,5,1,2,8,1
4,0,1,5,30.42,0,0,0,1,1,6,1,3,10,1
1,0,0,2,0.0833333333333333,0,0,0,1,1,6,1,3,10,1
1,0,1,5,6,0,0,0,1,1,3,1,3,7,1
1,1,3,18,60.84,0,0,0,1,1,0,0.5,2,2.5,0
1,0,2,5,30.42,0,0,1,2,1,6,1,2,9,1
1,0,2,9,35,1,0,0,2,1,6,1,3,10,1
4,0,0,3,365,0,0,0,2,1,3,1,2,6,0
1,0,2,6,45.63,1,0,1,1,1,6,1,2,9,1
1,1,1,4,18,0,0,0,2,1,6,1,2,9,1
1,0,1,3,17.5,1,1,1,1,1,6,1,2,9,1
1,0,0,5,182.52,1,0,0,1,1,4,1,3,8,1
1,0,0,6,60.84,0,0,0,1,1,6,1,1,8,1
1,0,2,7,243.36,0,1,1,2,1,2,1,3,6,0
1,1,1,7,304.2,1,0,0,2,1,6,1,3,10,1
1,0,1,9,33,1,0,0,1,1,5,1,2,8,1
1,1,3,7,4,0,0,0,2,1,3,1,1,5,0
1,1,3,4,1.2,0,0,1,2,1,6,1,1,8,1
1,0,1,5,0,0,0,0,2,1,5,1,1,7,1
1,0,1,1,2.5,1,0,0,1,1,4,0.5,2,6.5,0
1,0,0,2,20,0,0,1,1,1,0,0,1,1,0
1,1,2,9,10,0,0,1,2,1,0,1,2,3,0
1,0,0,4,14,0,0,0,2,1,1,1,3,5,0
1,0,0,4,182.52,1,0,0,1,1,1,1,2,4,0
1,0,1,7,3,0,0,0,1,1,2,1,3,6,0
1,1,1,3,60.84,1,0,0,2,1,2,1,2,5,0
1,0,1,14,60.84,0,0,1,1,1,5,1,3,9,1
1,0,3,16,15,0,0,1,1,1,0,0.5,3,3.5,0
1,0,2,10,167.31,0,0,0,4,1,3,1,1,5,0
1,0,2,7,14,0,1,1,1,1,2,1,3,6,0
1,1,2,5,76.05,0,0,1,2,1,5,1,3,9,1
1,0,0,4,0.333333333333333,0,0,1,1,1,4,1,1,6,0
1,0,1,19,273.78,0,0,0,1,1,6,1,3,10,1
1,0,2,8,14,1,0,0,1,1,0,1,3,4,0
1,0,2,14,121.68,0,0,0,1,1,1,1,3,5,0
1,0,1,12,60.84,1,1,1,1,1,6,1,2,9,1
1,0,0,7,10,0,0,1,1,1,0,1,2,3,0
1,0,0,4,0.833333333333333,0,0,0,1,1,6,1,3,10,1
1,0,1,9,30.42,1,0,0,2,1,0,1,2,3,0
1,0,1,5,45.63,0,0,0,1,1,0,1,0,1,0
1,0,0,7,40,0,0,0,1,1,5,1,2,8,1
1,0,1,14,4.3,1,0,1,2,1,3,1,3,7,1
1,0,1,7,60.84,0,0,0,1,1,4,1,2,7,1
1,0,1,7,30.42,0,1,1,2,1,0,1,2,3,0
1,0,0,1,1,0,0,0,1,1,6,1,1,8,1
1,0,0,10,5,1,0,0,1,1,6,1,3,10,1
2,0,1,7,0,1,0,0,1,1,5,1,3,9,1
1,0,1,9,30,0,1,1,2,1,5,1,3,9,1
1,0,0,8,182.52,1,0,0,1,1,6,1,3,10,1
1,0,2,8,24.5,1,0,1,2,1,4,1,3,8,1
1,0,2,14,13,1,1,1,2,1,0,1,3,4,0
5,0,0,11,365,0,0,0,1,1,6,1,2,9,1
1,0,1,4,1.16666666666667,0,1,1,2,1,1,1,3,5,0
1,0,2,6,13,0,0,1,3,1,3,1,3,7,1
1,0,1,8,30.42,0,0,1,1,1,0,1,2,3,0
1,0,2,13,45.5,1,0,0,3,1,0,1,3,4,0
1,0,0,5,1,1,0,0,2,1,6,1,3,10,1
2,0,0,3,14,0,0,0,2,1,6,1,3,10,1
1,0,2,9,10,1,0,0,1,1,0,1,3,4,0
3,0,0,9,121.68,1,0,0,1,1,4,1,3,8,1
1,0,2,12,365,0,0,0,3,1,6,1,3,10,1
2,0,1,10,243.36,1,0,1,1,1,5,1,3,9,1
1,0,1,11,273.78,1,0,1,2,1,3,1,2,6,0
1,0,0,8,42,0,0,0,1,1,6,1,2,9,1
1,0,0,10,121.68,1,1,1,1,1,0,1,3,4,0
1,0,2,7,273.78,0,0,0,1,1,5,1,3,9,1
1,0,1,28,212.94,1,0,0,2,1,5,1,3,9,1
1,0,2,9,121.68,1,0,0,2,1,1,1,1,3,0
1,0,2,14,30.42,0,1,1,2,1,6,1,3,10,1
2,0,2,13,4,1,0,0,1,1,6,1,3,10,1
1,0,1,1,1,0,0,1,1,1,0,1,2,3,0
2,0,3,22,121.68,1,1,1,1,1,2,0.5,3,5.5,0
1,1,2,9,5,0,0,1,2,1,6,1,3,10,1
1,1,2,8,2,1,0,0,1,1,6,1,3,10,1
1,0,1,8,0.166666666666667,0,0,0,1,1,4,1,1,6,0
1,0,2,5,5,0,0,1,1,1,5,1,2,8,1
1,0,1,8,212.94,0,0,0,2,1,0,1,1,2,0
1,0,1,5,12,0,0,0,1,1,0,1,0,1,0
1,0,1,8,76.05,1,0,1,2,1,3,1,3,7,1
1,0,1,6,11,0,0,0,1,1,0,1,2,3,0
1,0,2,9,14,0,0,1,1,1,5,1,3,9,1
1,1,1,8,1,0,0,0,1,2,5,1,3,9,1
1,0,1,10,1,1,0,0,1,1,6,1,3,10,1
11,0,1,17,365,1,0,0,1,1,6,1,3,10,1
1,0,2,9,365,1,0,0,2,1,6,1,3,10,1
1,0,1,10,60.84,1,0,0,2,1,4,1,3,8,1
1,0,1,7,2,0,0,0,1,1,4,1,3,8,1
1,1,3,6,121.68,1,0,0,1,1,5,1,2,8,1
1,0,2,20,91.26,1,0,0,4,2,3,0,3,6,0
1,1,2,6,12.5,1,0,0,1,1,6,1,3,10,1
1,0,1,12,8.5,0,0,0,1,1,0,0.5,1,1.5,0
1,1,2,8,0,0,0,0,2,1,6,1,3,10,1
1,0,0,7,4,0,0,0,1,1,1,1,3,5,0
1,1,4,8,35,1,0,0,3,1,5,1,3,9,1
1,0,1,10,91.26,0,0,0,1,1,4,1,1,6,0
1,0,1,6,7,1,1,1,1,1,3,0.5,2,5.5,0
1,0,0,10,4,1,1,0,2,1,0,1,3,4,0
1,1,2,8,2,0,0,0,2,1,2,1,1,4,0
1,0,1,4,38,0,0,0,2,1,0,1,2,3,0
1,0,0,3,28,1,1,0,2,1,3,1,3,7,1
2,0,1,2,3,0,0,1,3,1,5,1,2,8,1
1,0,4,5,14,0,0,1,1,1,5,1,2,8,1
1,1,2,3,243.36,1,0,0,2,1,5,1,2,8,1
1,0,1,5,0.5,0,0,1,1,1,0,1,2,3,0
1,0,0,6,547.56,0,1,1,1,1,5,1,3,9,1
1,0,1,15,152.1,0,0,0,2,1,4,1,3,8,1
1,0,2,16,21,0,0,0,3,1,0,1,3,4,0
1,0,0,8,15,0,1,1,3,1,2,0,3,5,0
1,0,0,4,40,0,0,0,1,1,4,1,0,5,0
1,0,0,6,60.84,0,0,1,2,1,0,0,1,1,0
1,0,2,13,228.15,1,0,1,2,1,2,1,1,4,0
1,0,1,5,3,1,0,0,1,1,4,1,1,6,0
1,0,0,4,152.1,1,0,0,1,2,3,1,2,6,0
1,0,2,6,17.5,0,0,0,2,1,4,1,1,6,0
1,0,1,6,730,1,0,0,1,1,4,1,2,7,1
1,0,2,9,0,0,1,0,1,1,1,1,3,5,0
1,0,1,5,365,1,0,0,2,1,6,1,1,8,1
1,0,0,8,63,1,0,0,2,1,5,1,3,9,1
1,0,1,5,0.333333333333333,0,0,1,2,1,0,1,2,3,0
1,0,0,6,60.84,0,1,1,1,1,0,1,3,4,0
1,0,0,8,11,1,0,1,2,1,1,1,3,5,0
1,0,0,5,21,1,0,1,2,1,0,0,3,3,0
1,0,0,4,16,1,0,1,1,1,6,1,3,10,1
1,0,1,7,60.84,1,0,0,1,1,6,1,3,10,1
1,0,1,11,2,1,0,1,3,1,6,1,3,10,1
1,0,1,4,10,1,0,0,1,1,0,1,3,4,0
1,0,0,3,0.416666666666667,0,0,0,1,1,1,0,0,1,0
1,0,0,1,0,0,0,0,1,1,6,1,1,8,1
1,0,2,16,0,1,0,0,3,1,6,1,2,9,1
1,1,1,8,91.26,0,0,0,2,1,5,1,2,8,1
1,0,1,4,1,0,0,0,2,1,0,1,3,4,0
1,0,2,14,121.68,0,1,1,3,1,2,0.5,3,5.5,0
2,0,0,13,730,0,0,0,1,1,0,1,2,3,0
1,0,2,11,365,1,0,0,2,1,5,1,3,9,1
1,0,1,18,182.52,1,0,0,2,1,5,1,3,9,1
1,0,0,10,4,0,0,1,1,1,3,1,2,6,0
1,0,0,5,4,1,0,0,2,1,3,1,2,6,0
1,0,0,4,0,1,0,0,3,1,4,1,1,6,0
