"country_total","pcs_local","pcs_total","methods_unique_ct","segment_length_days","had_social_elites","had_campaigner_violence","had_repressive_violence","cluster_total","class_total","success_goal","success_survival","success_growth","success_total","success_above_avg"
1,0,1,7,11,1,1,1,2,1,0,0.5,3,3.5,0
1,0,2,5,0.833333333333333,0,0,0,3,1,3,0.5,3,6.5,0
1,0,2,5,1.5,0,0,0,2,1,5,1,3,9,1
1,0,3,11,395.46,1,0,0,3,1,4,1,3,8,1
1,0,0,8,474.5,1,0,1,1,1,5,1,2,8,1
1,1,2,7,0.666666666666667,1,1,1,4,1,0,0.5,3,3.5,0
5,0,1,10,304.2,0,0,1,1,1,6,1,3,10,1
1,0,2,2,0,0,1,1,2,1,4,1,2,7,1
1,0,1,10,2,1,0,0,2,1,4,1,3,8,1
1,1,2,7,243.36,0,0,0,1,1,4,1,1,6,0
1,1,2,3,0,1,0,1,2,1,6,1,2,9,1
1,0,2,12,64,1,0,1,2,1,6,1,3,10,1
1,0,0,6,14,0,0,0,1,1,2,0.5,1,3.5,0
1,0,1,9,67,1,0,1,1,1,0,0,3,3,0
1,0,1,4,60.84,1,0,0,1,1,2,0,1,3,0
1,0,1,25,730,1,0,0,3,1,3,1,2,6,0
1,0,0,6,7,0,0,0,2,1,2,1,2,5,0
1,0,1,9,121.68,1,0,0,2,1,6,1,3,10,1
1,0,1,8,243.36,1,0,1,2,1,4,1,2,7,1
1,0,0,13,152.1,0,0,1,1,1,5,1,3,9,1
1,0,1,6,30.42,1,0,0,1,1,6,1,3,10,1
1,0,1,12,5,1,0,0,2,1,5,1,3,9,1
1,0,2,16,30.42,0,0,0,2,1,6,1,2,9,1
1,0,2,14,11,1,1,1,2,1,5,1,3,9,1
1,1,3,2,4,0,1,1,2,1,6,1,2,9,1
1,0,3,6,60.84,1,0,1,1,1,0,1,2,3,0
1,1,4,6,42,0,1,1,1,1,4,1,3,8,1
1,1,4,9,5,1,0,1,1,1,0,1,3,4,0
1,0,2,12,304.2,1,1,1,1,1,5,1,3,9,1
1,0,0,24,365,1,0,1,3,1,6,1,3,10,1
1,0,2,16,365,1,0,1,2,1,6,1,3,10,1
1,0,2,4,30.42,1,0,0,1,1,3,1,3,7,1
1,0,1,11,121.68,0,0,1,3,1,6,1,2,9,1
1,1,3,5,121.68,0,0,0,2,1,4,1,1,6,0
1,0,2,8,6,0,0,0,2,1,1,1,2,4,0
1,1,3,5,0,0,0,0,2,2,4,1,1,6,0
1,1,4,10,25,1,0,0,1,1,6,1,3,10,1
3,1,3,17,304.2,1,0,1,1,1,4,1,2,7,1
2,1,2,18,425.88,1,1,1,3,1,2,1,2,5,0
2,1,2,20,243.36,0,0,1,3,1,5,1,2,8,1
2,1,3,13,243.36,1,1,1,4,1,6,1,2,9,1
1,0,0,32,486.72,1,0,1,1,1,2,1,3,6,0
1,0,0,17,1825,1,0,0,1,1,3,1,3,7,1
1,1,1,23,121.68,1,0,0,1,1,6,1,3,10,1
1,0,0,4,20,1,0,0,1,1,5,1,3,9,1
1,1,3,9,228.15,1,1,1,2,1,6,1,3,10,1
1,0,3,13,2,1,1,1,2,1,0,1,3,4,0
1,0,0,8,30.42,0,1,1,1,1,1,0,1,2,0
1,0,0,8,1.5,1,0,0,1,1,3,1,1,5,0
1,0,2,7,730,0,0,0,1,1,6,1,2,9,1
1,0,0,18,365,1,0,1,1,1,2,1,3,6,0
1,0,2,10,0,0,0,1,2,1,2,1,3,6,0
1,0,0,15,182.52,1,0,1,1,1,1,0,1,2,0
1,0,1,11,65,1,0,0,2,1,0,1,3,4,0
1,1,2,11,121.68,0,1,1,3,1,3,1,2,6,0
1,1,2,24,273.78,1,0,0,2,1,4,1,3,8,1
1,0,0,13,730,1,0,1,3,1,1,1,2,4,0
1,0,0,8,365,1,0,0,3,1,6,1,2,9,1
1,1,1,5,1,0,1,1,1,1,0,0,3,3,0
1,0,3,11,35,1,0,1,2,1,2,0.5,3,5.5,0
1,0,0,7,182.52,0,0,1,3,1,6,1,2,9,1
1,1,1,18,60.84,0,0,0,1,1,6,1,3,10,1
1,0,3,7,60.84,1,0,0,3,1,4,1,3,8,1
2,0,0,17,56,1,0,1,1,1,1,1,3,5,0
1,0,1,17,91.26,1,0,0,2,1,5,1,3,9,1
1,1,4,11,60.84,1,0,1,3,1,6,1,3,10,1
1,1,4,7,2,0,0,0,2,1,0,1,2,3,0
1,0,3,11,8,1,0,1,3,1,5,1,3,9,1
1,0,3,18,0.5,1,0,1,3,1,5,1,3,9,1
1,0,2,10,17,0,0,1,2,1,1,1,1,3,0
1,0,0,10,304.2,0,0,0,1,1,4,1,3,8,1
1,0,1,9,91.26,1,0,0,1,1,6,1,2,9,1
1,0,1,8,60.84,1,0,1,1,1,0,1,1,2,0
1,0,2,13,6,1,1,1,2,1,5,1,3,9,1
1,0,2,19,21,1,1,1,2,1,6,1,3,10,1
1,0,2,12,30.42,0,0,1,1,1,6,1,3,10,1
1,0,1,11,0,1,0,1,1,1,4,1,3,8,1
1,0,1,14,3,1,0,1,3,1,6,1,3,10,1
1,0,2,11,4,0,0,1,2,1,2,0.5,2,4.5,0
1,0,1,5,91.26,1,0,0,2,1,6,1,3,10,1
1,1,3,5,1.5,1,0,0,1,1,2,1,2,5,0
1,0,1,13,121.68,1,0,0,2,1,6,1,3,10,1
1,0,2,8,30.42,1,0,1,2,1,6,1,3,10,1
1,0,2,11,91.26,1,0,1,1,1,4,1,3,8,1
1,0,0,15,121.68,1,0,1,1,1,6,1,3,10,1
1,1,3,14,10,0,1,1,1,1,6,1,3,10,1
1,0,2,8,60.84,1,0,1,1,1,6,1,3,10,1
1,1,4,15,60.84,1,0,0,1,1,6,1,3,10,1
1,0,2,11,243.36,1,0,0,2,1,6,1,2,9,1
1,0,1,22,365,1,1,1,1,1,0,1,1,2,0
1,0,3,9,365,1,1,1,2,1,6,1,3,10,1
1,1,3,8,91.26,0,0,1,3,1,4,1,2,7,1
1,1,1,6,17,1,1,1,2,1,3,1,3,7,1
1,0,1,11,10.5,1,0,1,2,1,5,1,3,9,1
1,1,4,7,60.84,0,1,1,1,1,6,1,2,9,1
1,1,4,17,60.84,0,0,1,1,1,2,1,3,6,0
1,0,1,12,12,0,0,1,2,1,5,1,3,9,1
1,0,0,7,4,0,0,1,1,1,0,1,3,4,0
1,1,3,9,365,0,0,1,2,1,4,1,2,7,1
1,0,1,15,730,1,0,0,2,1,6,1,2,9,1
1,0,3,10,243.36,1,0,0,1,1,6,1,3,10,1
1,0,0,14,0.333333333333333,0,0,1,1,1,4,1,0,5,0
1,0,0,22,2,1,0,1,1,1,6,1,1,8,1
1,0,0,18,1,0,0,1,1,1,3,1,1,5,0
1,0,0,12,425.88,0,0,0,1,1,6,1,3,10,1
1,0,2,12,1,1,0,1,1,1,0,0,2,2,0
1,0,2,19,608.4,1,1,1,3,1,4,1,3,8,1
1,0,1,6,7300,1,0,1,1,1,5,1,3,9,1
1,0,1,12,228.15,0,0,0,1,1,6,1,3,10,1
1,0,1,21,121.68,1,0,0,2,1,3,1,3,7,1
1,0,1,7,45.63,1,0,0,2,1,6,1,3,10,1
1,0,2,6,182.52,0,0,1,2,1,2,0,2,4,0
1,1,3,12,121.68,0,1,1,1,1,1,1,2,4,0
1,1,3,4,14,0,0,1,1,1,4,1,3,8,1
1,1,4,10,76.05,0,1,1,2,1,2,0.5,2,4.5,0
1,1,4,7,15,0,0,1,2,1,6,1,3,10,1
1,1,3,14,14,1,0,1,2,1,1,1,1,3,0
1,1,1,4,1,0,0,0,1,1,6,1,1,8,1
1,1,3,3,25,1,1,1,2,1,6,1,2,9,1
1,1,3,3,30.42,0,0,0,1,1,0,0.5,2,2.5,0
1,1,4,5,91.26,1,1,1,4,1,5,1,2,8,1
1,0,1,3,0,1,0,0,1,1,4,1,3,8,1
1,1,4,18,146,0,0,1,2,1,6,1,3,10,1
1,1,1,10,42,0,0,0,1,1,0,1,2,3,0
1,1,2,15,273.78,1,0,0,2,1,6,1,2,9,1
1,0,1,3,14,0,1,0,2,1,2,1,2,5,0
1,0,1,9,60.84,0,0,0,2,1,5,1,2,8,1
1,0,1,13,121.68,1,0,0,3,1,4,1,2,7,1
1,1,2,13,25,0,0,0,2,1,0,1,3,4,0
1,0,2,6,365,1,1,0,3,1,6,1,3,10,1
1,0,1,9,2,0,0,0,2,1,6,1,1,8,1
1,0,1,11,121.68,1,0,0,2,1,4,1,2,7,1
1,0,1,10,60.84,1,0,0,3,1,1,0,1,2,0
1,0,3,13,212.94,1,0,0,2,1,5,1,3,9,1
1,0,0,6,7,0,1,1,2,1,0,1,3,4,0
1,0,1,6,15,1,0,0,2,1,6,1,1,8,1
1,0,1,9,4,1,0,0,1,1,5,1,3,9,1
1,0,0,10,56,1,0,1,2,1,4,1,3,8,1
6,0,1,14,121.68,1,0,0,3,1,6,1,3,10,1
1,0,2,9,60.84,0,0,1,2,1,2,0.5,2,4.5,0
1,0,0,13,7,0,1,1,2,1,5,1,3,9,1
2,0,0,9,30.42,0,0,1,3,1,0,1,3,4,0
1,0,1,14,63,0,0,0,1,1,2,1,1,4,0
1,0,1,9,60.84,0,0,1,1,1,6,1,3,10,1
2,0,0,11,13,0,1,0,1,1,0,0.5,2,2.5,0
1,1,2,4,2,1,0,0,1,1,6,1,2,9,1
1,0,0,3,5,0,0,0,2,1,6,1,1,8,1
1,0,1,7,91.26,1,1,1,1,1,0,0.5,3,3.5,0
1,0,0,3,6,1,0,0,3,1,0,0.5,3,3.5,0
1,0,2,13,334.62,0,0,0,1,1,5,1,1,7,1
1,0,1,10,25,0,0,0,1,1,3,1,3,7,1
1,1,3,21,20,1,1,1,2,1,5,1,3,9,1
1,0,0,10,15,1,0,0,2,1,0,1,3,4,0
1,0,3,2,0,0,0,0,2,1,6,1,3,10,1
1,0,0,7,30.42,0,0,1,1,1,6,1,1,8,1
1,0,1,12,395.46,1,0,0,1,1,1,1,3,5,0
1,0,1,7,365,0,0,1,2,1,6,1,1,8,1
1,1,5,7,1.5,1,0,0,1,1,6,1,3,10,1
1,1,5,13,60.84,0,0,1,2,1,4,1,2,7,1
1,1,2,3,4,0,0,0,2,1,0,1,0,1,0
1,0,3,11,30.42,1,0,1,2,1,0,0,1,1,0
1,0,0,7,6.3,1,0,0,1,1,1,1,1,3,0
1,1,3,9,30.42,1,0,0,1,1,6,1,3,10,1
1,0,3,5,182.52,1,0,1,4,1,6,1,2,9,1
1,0,2,5,10,1,1,1,1,1,3,0.5,2,5.5,0
1,1,2,4,21,1,0,1,2,1,6,1,3,10,1
1,0,0,10,365,0,0,0,1,1,5,1,2,8,1
1,0,0,9,730,1,1,0,3,1,6,1,3,10,1
1,1,4,3,4,1,0,1,1,1,6,1,1,8,1
1,1,2,5,212.94,0,0,1,3,2,6,1,1,8,1
1,1,4,5,7,0,0,0,2,2,6,1,3,10,1
1,0,2,8,30.42,1,0,0,2,1,0,1,2,3,0
1,0,1,12,243.36,0,1,1,1,1,3,1,3,7,1
1,0,3,3,4,0,0,1,2,1,4,1,1,6,0
1,0,0,5,20,0,0,0,1,1,1,1,3,5,0
1,0,1,20,730,1,0,1,1,1,4,0.5,3,7.5,1
1,0,0,7,365,1,0,0,1,1,2,1,3,6,0
1,0,0,20,152.1,1,0,1,1,1,4,1,3,8,1
1,1,2,14,121.68,1,0,0,1,1,6,1,3,10,1
1,1,3,3,0.0416666666666667,0,0,0,2,1,6,1,2,9,1
1,1,2,4,10,0,0,0,1,1,3,1,1,5,0
1,0,1,6,0,0,0,0,2,1,1,0.5,2,3.5,0
1,0,2,7,0,1,0,1,2,1,0,1,3,4,0
2,0,0,2,365,1,0,0,4,1,5,1,2,8,1
1,1,3,10,66.924,1,0,0,1,1,3,1,2,6,0
1,0,1,13,30.42,0,1,1,1,1,1,1,2,4,0
1,0,2,6,0,0,0,0,1,1,0,1,3,4,0
1,0,3,11,55,0,1,0,2,1,5,0,3,8,1
1,0,1,10,182.52,1,0,1,2,1,2,1,2,5,0
1,0,2,12,27,1,1,1,3,1,0,1,3,4,0
1,0,3,21,14,1,0,1,1,1,0,0,3,3,0
1,0,1,8,42,0,0,1,1,1,3,0,2,5,0
1,0,3,6,0,1,0,1,1,1,4,1,3,8,1
1,0,0,6,44,1,1,1,1,1,4,1,3,8,1
1,0,2,3,14.67,0,0,1,2,1,0,1,2,3,0
12,0,0,11,608.4,0,0,0,1,1,3,1,3,7,1
1,0,1,6,30.42,0,1,1,2,1,5,1,3,9,1
1,0,0,10,30.42,0,0,0,1,1,6,1,2,9,1
1,0,1,10,365,0,0,1,3,1,6,1,2,9,1
1,0,2,10,212.94,0,0,1,2,1,4,0.5,2,6.5,0
1,0,0,4,121.68,0,0,1,2,1,5,1,1,7,1
1,1,2,17,730,1,1,0,1,1,6,0.5,2,8.5,1
1,0,1,8,273.78,0,1,0,2,1,6,1,2,9,1
1,0,0,19,76.05,1,0,0,1,1,4,1,3,8,1
1,0,0,4,182.52,0,0,1,1,1,5,1,1,7,1
1,0,1,3,85,0,0,1,2,1,0,1,2,3,0
1,1,2,4,1.33,1,1,0,2,1,6,1,1,8,1
1,0,0,2,0,1,0,1,1,1,5,1,3,9,1
5,0,0,11,365,0,0,0,1,1,6,1,2,9,1
1,0,1,5,182.52,0,1,0,3,1,0,1,2,3,0
1,0,0,4,4,1,0,1,2,1,0,1,3,4,0
1,0,0,6,15,0,0,0,1,1,0,0,1,1,0
1,0,0,5,30.42,0,0,0,1,1,6,1,2,9,1
1,0,1,19,14,1,0,1,2,1,0,1,2,3,0
1,0,1,16,91.26,1,0,1,2,1,0,0.5,2,2.5,0
1,0,1,4,0,0,0,0,1,1,5,1,2,8,1
3,0,0,9,121.68,1,0,0,1,1,4,1,3,8,1
1,0,0,4,45.63,0,0,0,2,1,5,1,1,7,1
1,0,4,11,121.68,0,1,1,2,1,6,1,3,10,1
11,0,1,17,365,1,0,0,1,1,6,1,3,10,1
1,0,3,12,10,1,1,1,3,1,5,0.5,2,7.5,1
1,0,0,8,21,0,1,1,2,1,3,1,2,6,0
1,0,0,4,14,1,0,1,2,1,5,0.5,1,6.5,0
1,1,1,7,121.68,0,0,0,3,1,6,1,1,8,1
2,0,2,6,365,0,0,0,4,1,6,1,3,10,1
1,1,2,8,21,1,0,0,1,1,6,1,2,9,1
1,0,0,2,13,0,0,0,1,1,6,1,1,8,1
1,0,3,9,2920,0,0,0,1,1,6,1,3,10,1
1,0,1,11,2,1,0,0,2,1,1,1,2,4,0
1,1,1,7,121.68,0,0,0,2,1,6,1,2,9,1
1,0,0,8,5,0,1,1,2,1,6,1,3,10,1
1,1,4,7,365,1,0,0,2,1,5,1,3,9,1
1,0,1,11,8,1,0,0,1,1,2,1,3,6,0
1,0,0,13,395.46,0,0,1,2,1,4,1,1,6,0
1,0,2,4,1.5,1,0,0,3,2,4,1,1,6,0
1,0,0,2,13,0,0,0,1,1,4,1,2,7,1
1,0,2,1,0,0,0,0,2,1,1,0,0,1,0
2,0,0,13,730,0,0,0,1,1,0,1,2,3,0
5,0,1,10,304.2,0,0,1,1,1,6,1,3,10,1
1,0,1,12,26,1,0,0,2,1,6,1,3,10,1
1,0,2,16,182.52,0,1,1,2,1,0,1,3,4,0
1,0,0,5,14,0,0,0,1,1,6,1,2,9,1
1,0,2,12,304.2,1,0,0,4,1,6,1,3,10,1
1,0,1,15,6,0,1,1,1,1,0,1,3,4,0
1,0,1,7,319.41,1,0,0,3,1,6,1,2,9,1
1,0,1,12,20,0,1,0,2,1,5,1,2,8,1
1,0,0,15,30.42,1,1,1,1,1,0,1,3,4,0
6,0,1,14,121.68,1,0,0,3,1,6,1,3,10,1
1,0,2,13,12,0,1,1,3,1,2,1,3,6,0
1,0,1,11,91.26,0,0,0,2,1,6,1,3,10,1
1,0,0,16,152.1,1,0,1,2,1,1,1,3,5,0
